,company_name,rating,location,size,industry,street_number,street_name,town,district,state,postal_code,formatted_address,lat,lng,Gemeindeschlüsselnummer,km²,Einwohner,Landkreis,Grundstückspreise in € pro m²,"Land- und Forstwirtschaft, Fischerei (A)",Produzierendes Gewerbe (B-F),"Handel, Verkehr, Gast- gewerbe (G-I)","Erbrin- gung von Unternehmensdienstleistungen
(J-N)",Erbringung von öffentl. u. privaten Dienstleistungen (O-U),Industry with most employees,Number of Foreigners per Gemeinde,Foreigners as % of Population,Raw population Gain or Loss,Per 1000 Inhabitants,Municipality,Property tax B in 1000 euros
0,Kern (Germany),4.0,Saarland,1 to 50 Employees,Enterprise Software & Network Solutions,120,In der Kolling,Bexbach,Saarpfalz-Kreis,Saarland,66450.0,"In d. Kolling 120, 66450 Bexbach, Germany",49.348772200000006,7.244488799999999,45111.0,31.09,17482.0,Saarpfalz,100-150,17,1 409,1 472,762,915,"Handel, Verkehr, Gast- gewerbe (G-I)",521,"7,0",41.0,"+ 2,3",Bexbach,2 459
1,NEUE HALBERG-GUSS,3.4,Saarland,1001 to 5000 Employees,Transportation Equipment Manufacturing,16,Kirchstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66130.0,"Kirchstraße 16, 66130 Saarbrücken, Germany",49.2120857,7.037077799999999,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
2,MTD Products,3.5,Saarland,5001 to 10000 Employees,Machinery Manufacturing,23,Industriestraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66129.0,"Industriestraße 23, 66129 Saarbrücken, Germany",49.1861848,7.037268600000001,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
3,Primark,3.5,Saarland,10000+ Employees,"Department, Clothing & Shoe Stores",81-85,Bahnhofstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111.0,"Bahnhofstraße 81-85, 66111 Saarbrücken, Germany",49.2369592,6.9919277,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
4,Groupe PSA,3.5,Saarland,10000+ Employees,Transportation Equipment Manufacturing,2,Armand-Peugeot-Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66119.0,"Armand-Peugeot-Straße 2, 66119 Saarbrücken, Germany",49.1999626,7.0171660000000005,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
5,Commerzbank,4.0,Saarland,10000+ Employees,Banking & Lending,4,Faktoreistraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111.0,"Faktoreistraße 4, 66111 Saarbrücken, Germany",49.2382639,6.989540400000001,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
6,Veolia,3.8,Saarland,10000+ Employees,Energy & Utilities,52,Am Torhaus,Saarbrücken,Regionalverband Saarbrücken,Saarland,66113.0,"Am Torhaus 52, 66113 Saarbrücken, Germany",49.2492896,6.9798616,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
7,Adler Manufacturing,3.7,Saarland,51 to 200 Employees,Consumer Product Manufacturing,17,Altenkesseler Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66115.0,"Altenkesseler Str. 17/B7, 66115 Saarbrücken, Germany",49.246132200000005,6.9389734,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
8,Stegmann Personaldienstleistung,4.1,Saarland,501 to 1000 Employees,HR Consulting,40,Großherzog-Friedrich-Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111.0,"Großherzog-Friedrich-Straße 40, 66111 Saarbrücken, Germany",49.2331096,7.0020454,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
9,IKK Südwest,3.6,Saarland,1001 to 5000 Employees,Health Care Services & Hospitals,3-4,Europaallee,Saarbrücken,Regionalverband Saarbrücken,Saarland,66113.0,"Europaallee 3-4, 66113 Saarbrücken, Germany",49.2430414,6.9838806,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
