,company_name,rating,reviews,salaries,jobs,location,size,industry,description
0,Kern (Germany),4.0,"{'url': '/Reviews/Kern-Germany-Reviews-E1406719.htm', 'count': '10'}","{'url': '/Salary/Kern-Germany-Salaries-E1406719.htm', 'count': '--'}","{'url': '/Jobs/Kern-Germany-Jobs-E1406719.htm', 'count': '--'}",Saarland,1 to 50 Employees,Enterprise Software & Network Solutions,
1,VIPFY,5.0,"{'url': '/Reviews/VIPFY-Reviews-E4353306.htm', 'count': '1'}","{'url': '/Salary/VIPFY-Salaries-E4353306.htm', 'count': '--'}","{'url': '/Jobs/VIPFY-Jobs-E4353306.htm', 'count': '--'}",Saarland,1 to 50 Employees,N/A,
2,Contact Air Technik,5.0,"{'url': '/Reviews/Contact-Air-Technik-Reviews-E5309862.htm', 'count': '1'}","{'url': '/Salary/Contact-Air-Technik-Salaries-E5309862.htm', 'count': '--'}","{'url': '/Jobs/Contact-Air-Technik-Jobs-E5309862.htm', 'count': '9'}",Saarland,Unknown,N/A,
3,MENetatis,4.1,"{'url': '/Reviews/MENetatis-Reviews-E2867888.htm', 'count': '2'}","{'url': '/Salary/MENetatis-Salaries-E2867888.htm', 'count': '--'}","{'url': '/Jobs/MENetatis-Jobs-E2867888.htm', 'count': '231'}",Saarland,Unknown,N/A,
4,NEUE HALBERG-GUSS,3.4,"{'url': '/Reviews/NEUE-HALBERG-GUSS-Reviews-E935319.htm', 'count': '4'}","{'url': '/Salary/NEUE-HALBERG-GUSS-Salaries-E935319.htm', 'count': '1'}","{'url': '/Jobs/NEUE-HALBERG-GUSS-Jobs-E935319.htm', 'count': '--'}",Saarland,1001 to 5000 Employees,Transportation Equipment Manufacturing,
5,Jacopini Import,2.0,"{'url': '/Reviews/Jacopini-Import-Reviews-E3666991.htm', 'count': '1'}","{'url': '/Salary/Jacopini-Import-Salaries-E3666991.htm', 'count': '--'}","{'url': '/Jobs/Jacopini-Import-Jobs-E3666991.htm', 'count': '--'}",Saarland,1 to 50 Employees,N/A,
6,Müller,3.8,"{'url': '/Reviews/M%C3%BCller-Reviews-E934511.htm', 'count': '269'}","{'url': '/Salary/M%C3%BCller-Salaries-E934511.htm', 'count': '14'}","{'url': '/Jobs/M%C3%BCller-Jobs-E934511.htm', 'count': '677'}",Saarland,10000+ Employees,Drug & Health Stores,
7,Ford Motor Company,4.1,"{'url': '/Reviews/Ford-Motor-Company-Reviews-E263.htm', 'count': '12.6K'}","{'url': '/Salary/Ford-Motor-Company-Salaries-E263.htm', 'count': '11.5K'}","{'url': '/Jobs/Ford-Motor-Company-Jobs-E263.htm', 'count': '2.7K'}",Saarland,10000+ Employees,Transportation Equipment Manufacturing,"OUR PURPOSE
We believe in the power of creating a world with fewer obstacles and limits, where people have the freedom to build a better life and pursue their dreams.
 
To shorten the distance between where you are and where you want to go.

To connect people down the road and over the horizon — to discover possibilities, and enjoy the thrill, adventure and pride of moving freely.

From day one, we've provided people with tools to help them move forward and upward.
We've innovated to expand their opportunities. And we've worked to earn their trust, every single day.
 
We honor our legacy as we build the future – a better world for generations to come. Because when everyone is free to move, and free to dream, we do what we do best: we change the world.

OUR HISTORY
Henry Ford transformed not only the automobile but working life and the role of transportation. Having played our part in everything from the birth of the middle class to the recent global pandemic, we serve the world with integrity and competence. The Blue Oval is one of the most recognized corporate symbols in history, continually striving to earn the trust of all stakeholders.

OUR CULTURE
Ford is a family company in more ways than one. The culture is anchored in shared beliefs and ideals, acting for the common good. As an organization, Ford believes everyone should have the freedom to move and pursue their dreams, and seeks to create a culture of belonging for every employee.






Ford Motor Company (NYSE: F) is a global company based in Dearborn, Michigan. The company designs, manufactures, markets and services a full line of Ford trucks, utility vehicles, and cars – increasingly including electrified versions – and Lincoln luxury vehicles; provides financial services through Ford Motor Credit Company; and is pursuing leadership positions in electrification; mobility solutions, including self-driving services; and connected vehicle services.  Ford employs approximately 186,000 people worldwide. For more information regarding Ford, its products and Ford Motor Credit Company, please visit corporate.ford.com.

Privacy Policy: https://www.ford.com/help/privacy/

For career opportunities, please visit https://corporate.ford.com/careers.html."
8,Diehl,3.6,"{'url': '/Reviews/Diehl-Reviews-E10421.htm', 'count': '126'}","{'url': '/Salary/Diehl-Salaries-E10421.htm', 'count': '6'}","{'url': '/Jobs/Diehl-Jobs-E10421.htm', 'count': '1.3K'}",Saarland,10000+ Employees,Aerospace & Defense,"Diehl or no Diehl? Diehl Stiftung & Co., a diverse industrial company that makes everything from missiles to washing machine controls, prefers the former. The company's four corporate divisions include Defense (ammunition, missiles, surveillance systems); Aerospace (vehicle and display systems, avionics, flight and engine controls, cabin and utility systems); Metall (metal rods, tubes, strips, wire, key blanks, cable, and forged parts); and Controls (industrial and appliance controls, timers, sensors, regulators, and electronic control systems). Its affiliate companies make electronic components and assemblies for Diehl Metering (flow meters). Diehl Stiftung has been family-owned since it was founded in 1902."
9,MPI-SWS,4.6,"{'url': '/Reviews/MPI-SWS-Reviews-E534285.htm', 'count': '13'}","{'url': '/Salary/MPI-SWS-Salaries-E534285.htm', 'count': '--'}","{'url': '/Jobs/MPI-SWS-Jobs-E534285.htm', 'count': '--'}",Saarland,51 to 200 Employees,Colleges & Universities,
10,IT Inkubator,4.5,"{'url': '/Reviews/IT-Inkubator-Reviews-E3218795.htm', 'count': '2'}","{'url': '/Salary/IT-Inkubator-Salaries-E3218795.htm', 'count': '--'}","{'url': '/Jobs/IT-Inkubator-Jobs-E3218795.htm', 'count': '--'}",Saarland,1 to 50 Employees,N/A,
11,Martin Eckert,4.0,"{'url': '/Reviews/Martin-Eckert-Reviews-E3325348.htm', 'count': '1'}","{'url': '/Salary/Martin-Eckert-Salaries-E3325348.htm', 'count': '--'}","{'url': '/Jobs/Martin-Eckert-Jobs-E3325348.htm', 'count': '37'}",Saarland,Unknown,N/A,
12,BerlinerLuft. Technik,1.0,"{'url': '/Reviews/BerlinerLuft-Technik-Reviews-E1112125.htm', 'count': '1'}","{'url': '/Salary/BerlinerLuft-Technik-Salaries-E1112125.htm', 'count': '--'}","{'url': '/Jobs/BerlinerLuft-Technik-Jobs-E1112125.htm', 'count': '48'}",Saarland,1 to 50 Employees,N/A,
13,payever,3.0,"{'url': '/Reviews/payever-Reviews-E1465350.htm', 'count': '180'}","{'url': '/Salary/payever-Salaries-E1465350.htm', 'count': '7'}","{'url': '/Jobs/payever-Jobs-E1465350.htm', 'count': '19'}",Saarland,51 to 200 Employees,Internet & Web Services,
14,Torpedo Garage,5.0,"{'url': '/Reviews/Torpedo-Garage-Reviews-E933890.htm', 'count': '3'}","{'url': '/Salary/Torpedo-Garage-Salaries-E933890.htm', 'count': '--'}","{'url': '/Jobs/Torpedo-Garage-Jobs-E933890.htm', 'count': '7'}",Saarland,501 to 1000 Employees,N/A,
15,OrderYOYO,4.0,"{'url': '/Reviews/OrderYOYO-Reviews-E1838569.htm', 'count': '71'}","{'url': '/Salary/OrderYOYO-Salaries-E1838569.htm', 'count': '1'}","{'url': '/Jobs/OrderYOYO-Jobs-E1838569.htm', 'count': '22'}",Saarland,51 to 200 Employees,Internet & Web Services,"OrderYOYO inspires and empowers local takeaway restaurants to engage with their consumers directly. To this end, our business focuses on three pillars: 

Supplying restaurant partners with technical solutions to drive their online business 
Providing access to data for restaurant partners, in a digestible manner 
Facilitating and managing marketing activities to drive orders to restaurant partners 

When we do this right, we become the preferred digital business partner for local takeaway restaurants. 

In our workplace, we cherish diversity, teamwork, and mutual respect and just as we empower our restaurant partners, we pride ourselves on giving our teams plenty of opportunities to make their mark. "
16,Bosch Emission Systems,5.0,"{'url': '/Reviews/Bosch-Emission-Systems-Reviews-E3141057.htm', 'count': '1'}","{'url': '/Salary/Bosch-Emission-Systems-Salaries-E3141057.htm', 'count': '--'}","{'url': '/Jobs/Bosch-Emission-Systems-Jobs-E3141057.htm', 'count': '--'}",Saarland,Unknown,N/A,
