Gemeinde,Gemeindeschlüsselnummer,km²,Einwohner,Landkreis,Grundstückspreise in € pro m²,"Land- und Forstwirtschaft, Fischerei (A)",Produzierendes Gewerbe (B-F),"Handel, Verkehr, Gast- gewerbe (G-I)","Erbrin- gung von Unternehmensdienstleistungen
(J-N)",Erbringung von öffentl. u. privaten Dienstleistungen (O-U),Industry with most employees,Number of Foreigners per Gemeinde,Foreigners as % of Population,Raw population Gain or Loss,Per 1000 Inhabitants
Beckingen,42111,51.85,14923,Merzig-Wadern,75-100,19,541,422,244,613,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),194,"6,7",140,"+ 9,4"
Bexbach,45111,31.09,17482,Saarpfalz,100-150,17,1 409,1 472,762,915,"Handel, Verkehr, Gast- gewerbe (G-I)",521,"7,0",41,"+ 2,3"
Blieskastel,45112,108.21,20153,Saarpfalz,100-150,43,2 178,1 741,281,1 613,Produzierendes Gewerbe (B-F),631,"5,6",-9,"- 0,4"
Bous,44122,7.63,6978,Saarlouis,100-150,-,657,744,103,340,"Handel, Verkehr, Gast- gewerbe (G-I)",216,"13,0",55,"+ 7,9"
Dillingen/Saar,44111,22.05,19668,Saarlouis,100-150,nan,8 181,1 836,1 307,3 142,Produzierendes Gewerbe (B-F),1 532,"16,9",58,"+ 2,9"
Ensdorf,44123,8.39,6502,Saarlouis,145,.,200,901,.,390,"Handel, Verkehr, Gast- gewerbe (G-I)",168,"14,0",62,"+ 9,6"
Eppelborn,43111,47.25,16465,Neunkirchen,75-100,10,894,492,436,772,Produzierendes Gewerbe (B-F),149,"5,0",69,"+ 4,2"
Freisen,46111,48.09,7789,St. Wendel,<50,7,1 281,401,136,287,Produzierendes Gewerbe (B-F),81,"4,3",-3,"- 0,4"
Friedrichsthal,41511,8.99,9955,RV Saarbrücken,75-100,3,567,854,264,542,"Handel, Verkehr, Gast- gewerbe (G-I)",200,"6,6",81,"+ 8,1"
Gersheim,45113,57.37,6292,Saarpfalz,75-100,3,390,122,29,503,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),138,"3,8",24,"+ 3,8"
Großrosseln,41512,25.26,7953,RV Saarbrücken,75-100,3,261,373,72,365,"Handel, Verkehr, Gast- gewerbe (G-I)",262,"7,4",33,"+ 4,2"
Heusweiler,41513,40.01,17998,RV Saarbrücken,100-150,19,648,944,597,821,"Handel, Verkehr, Gast- gewerbe (G-I)",218,"6,6",67,"+ 3,7"
Homburg (Kreisstadt),45114,82.61,41612,Saarpfalz,185,13,11 972,4 466,4 310,10 392,Produzierendes Gewerbe (B-F),3 277,"16,0",160,"+ 3,8"
"Homburg, Kreisstadt",nan,nan,nan,nan,nan,13,11 972,4 466,4 310,10 392,Produzierendes Gewerbe (B-F),3 277,"16,0",160,"+ 3,8"
Illingen,43112,36.09,15982,Neunkirchen,75-100,10,1 279,1 153,295,1 100,Produzierendes Gewerbe (B-F),293,"5,9",45,"+ 2,8"
Kirkel,45115,31.34,9992,Saarpfalz,150-200,21,1 142,820,1 032,531,Produzierendes Gewerbe (B-F),573,"6,1",13,"+ 1,3"
Kleinblittersdorf,41514,27.19,10707,RV Saarbrücken,100-150,7,598,792,578,973,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),899,"6,8",126,"+ 11,7"
Lebach,44112,64.21,18694,Saarlouis,75-100,11,1 031,962,751,1 766,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),381,"11,6",-180,"- 9,6"
"Lebach, Stadt",nan,nan,nan,nan,nan,11,1 031,962,751,1 766,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),381,"11,6",-180,"- 9,6"
Losheim am See,42112,96.95,15983,Merzig-Wadern,75-100,28,1 211,1 486,678,881,"Handel, Verkehr, Gast- gewerbe (G-I)",473,"8,1",66,"+ 4,1"
Mandelbachtal,45116,57.71,10458,Saarpfalz,150-200,51,172,416,148,378,"Handel, Verkehr, Gast- gewerbe (G-I)",153,"4,5",102,"+ 9,7"
Marpingen,46112,39.83,9962,St. Wendel,50-75,6,200,253,151,377,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),70,"5,3",14,"+ 1,4"
Merchweiler,43113,12.8,9672,Neunkirchen,75-100,17,418,550,85,314,"Handel, Verkehr, Gast- gewerbe (G-I)",120,"5,8",-5,"- 0,5"
Merzig (Kreisstadt),42113,108.98,29609,Merzig-Wadern,95,115,2 137,3 507,1 246,4 594,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),1 106,"11,6",52,"+ 1,8"
"Merzig, Kreisstadt",nan,nan,nan,nan,nan,115,2 137,3 507,1 246,4 594,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),1 106,"11,6",52,"+ 1,8"
Mettlach,42114,77.82,12044,Merzig-Wadern,75-100,6,2 231,824,152,824,Produzierendes Gewerbe (B-F),501,"16,2",117,"+ 9,7"
Nalbach,44113,22.43,9079,Saarlouis,75-100,7,299,151,210,326,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),150,"7,7",-17,"- 1,9"
Namborn,46113,25.98,6928,St. Wendel,<50,17,94,147,56,185,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),87,"4,4",25,"+ 3,6"
Neunkirchen (Kreisstadt),43114,75.26,46098,Neunkirchen,90,115,2 137,3 507,1 246,4 594,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),1 106,"11,6",52,"+ 1,8"
"Neunkirchen, Kreisstadt",nan,nan,nan,nan,nan,115,2 137,3 507,1 246,4 594,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),1 106,"11,6",52,"+ 1,8"
Nohfelden,46114,100.82,9826,St. Wendel,<50,17,1 043,635,52,440,Produzierendes Gewerbe (B-F),155,"5,8",52,"+ 5,3"
Nonnweiler,46115,66.4,8458,St. Wendel,<50,38,2 634,523,247,608,Produzierendes Gewerbe (B-F),288,"4,8",105,"+ 12,4"
Oberthal,46116,23.87,5953,St. Wendel,50-75,8,148,148,90,307,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),30,"5,1",-5,"- 0,8"
Ottweiler (KV-Sitz),43115,45.56,14395,Neunkirchen,75-100,17,578,363,1 258,1 929,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),286,"6,2",159,"+ 11,1"
Perl,42115,75.24,8872,Merzig-Wadern,135,51,215,861,83,387,"Handel, Verkehr, Gast- gewerbe (G-I)",262,"41,6",303,"+ 34,3"
Püttlingen,41515,23.95,18269,RV Saarbrücken,100-150,18,916,724,388,1 805,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),325,"6,7",116,"+ 6,3"
Quierschied,41516,20.21,12816,RV Saarbrücken,75-100,.,348,358,.,524,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),188,"7,6",42,"+ 3,2"
Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5"
Rehlingen-Siersburg,44114,61.24,14343,Saarlouis,100-150,14,783,547,203,615,Produzierendes Gewerbe (B-F),238,"6,9",63,"+ 4,4"
Riegelsberg,41517,14.65,14268,RV Saarbrücken,100-150,.,291,472,.,774,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),198,"7,6",102,"+ 7,1"
Saarlouis (Kreisstadt),44115,43.3,34445,Saarlouis,145,nan,nan,nan,nan,nan,,nan,nan,nan,nan
"Saarlouis, Kreisstadt",nan,nan,nan,nan,nan,67,10 737,5 501,4 789,6 108,Produzierendes Gewerbe (B-F),4 758,"14,1",55,"+ 1,6"
Saarwellingen,44116,41.67,13177,Saarlouis,100-150,13,1 700,1 213,1 025,1 027,Produzierendes Gewerbe (B-F),660,"6,7",13,"+ 1,0"
Schiffweiler,43116,21.42,15552,Neunkirchen,50-75,9,811,719,327,699,Produzierendes Gewerbe (B-F),279,"6,4",212,"+ 13,6"
Schmelz,44117,58.62,16136,Saarlouis,75-100,21,1 723,772,140,755,Produzierendes Gewerbe (B-F),627,"9,3",64,"+ 4,0"
Schwalbach,44118,27.37,17126,Saarlouis,100-150,13,449,624,304,684,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),183,"6,4",144,"+ 8,4"
Spiesen-Elversberg,43117,11.42,12683,Neunkirchen,75-100,-,422,526,406,1 883,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),283,"7,3",25,"+ 2,0"
St. Ingbert (Mittelstadt),45117,49.95,34971,Saarpfalz,150-200,20,7 595,3 736,3 476,3 505,Produzierendes Gewerbe (B-F),1 992,"9,6",68,"+ 1,9"
St. Wendel (Kreisstadt),46117,113.53,25337,St. Wendel,40,51,3 651,2 670,2 750,5 317,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),854,"7,3",-147,"- 5,8"
Sulzbach/Saar,41518,16.07,16256,RV Saarbrücken,75-100,-,3 674,1 065,1 481,1 761,Produzierendes Gewerbe (B-F),713,"14,7",139,"+ 8,5"
Tholey,46118,57.55,11917,St. Wendel,50-75,15,1 198,553,192,546,Produzierendes Gewerbe (B-F),197,"4,6",87,"+ 7,2"
Völklingen (Mittelstadt),41519,67.1,39428,RV Saarbrücken,100-150,35,5 442,3 455,2 075,3 649,Produzierendes Gewerbe (B-F),1 791,"19,2",54,"+ 1,4"
"Völklingen, Stadt",nan,nan,nan,nan,nan,35,5 442,3 455,2 075,3 649,Produzierendes Gewerbe (B-F),1 791,"19,2",54,"+ 1,4"
Wadern,42116,111.14,15697,Merzig-Wadern,50-75,18,1 945,1 258,2 018,983,"Erbrin- gung von Unternehmensdienstleistungen
(J-N)",461,"6,7",86,"+ 5,5"
Wadgassen,44120,25.91,16900,Saarlouis,100-150,.,441,521,.,920,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),257,"8,5",19,"+ 1,1"
Wallerfangen,44121,42.22,9220,Saarlouis,100-150,10,168,199,92,704,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),119,"8,1",90,"+ 9,8"
Weiskirchen,42117,33.65,6298,Merzig-Wadern,50-75,8,757,347,88,714,Produzierendes Gewerbe (B-F),173,"7,6",31,"+ 4,9"
Überherrn,44119,34.31,11393,Saarlouis,100-150,27,1 380,1 691,236,471,"Handel, Verkehr, Gast- gewerbe (G-I)",761,"7,0",35,"+ 3,1"
