,Unnamed: 0,company_name,rating,location,size,industry,street_number,street_name,town,district,state,postal_code,formatted_address,lat,lng,Gemeinde,Gemeindeschlüsselnummer,km²,Einwohner,Landkreis,Grundstückspreise in € pro m²,"Land- und Forstwirtschaft, Fischerei (A)",Produzierendes Gewerbe (B-F),"Handel, Verkehr, Gast- gewerbe (G-I)","Erbrin- gung von Unternehmensdienstleistungen
(J-N)",Erbringung von öffentl. u. privaten Dienstleistungen (O-U),Industry with most employees,Number of Foreigners per Gemeinde,Foreigners as % of Population,Raw population Gain or Loss,Per 1000 Inhabitants
0,0,Kern (Germany),4,Saarland,1 to 50 Employees,Enterprise Software & Network Solutions,120,In der Kolling,Bexbach,Saarpfalz-Kreis,Saarland,66450,"In d. Kolling 120, 66450 Bexbach, Germany",49.3487722,7.2444888,Bexbach,45111,31.09,17482,Saarpfalz,100-150,17,1 409,1 472,762,915,"Trade, Transport, Hospitality",521,"7,0",41,"+ 2,3"
1,1,NEUE HALBERG-GUSS,3.4,Saarland,1001 to 5000 Employees,Transportation Equipment Manufacturing,16,Kirchstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66130,"Kirchstraße 16, 66130 Saarbrücken, Germany",49.2120857,7.0370778,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
2,2,Ford Motor Company,4.1,Saarland,10000+ Employees,Transportation Equipment Manufacturing,18-30,Roonstraße,Dillingen/Saar,Landkreis Saarlouis,Saarland,66763,"Roonstraße 18-30, 66763 Dillingen/Saar, Germany",49.3578331,6.7318691,Dillingen/Saar,44111,22.05,19668,Saarlouis,100-150,,8 181,1 836,1 307,3 142,Manufacturing industry,1 532,"16,9",58,"+ 2,9"
3,3,Kärcher,3.4,Saarland,10000+ Employees,Machinery Manufacturing,269,Provinzialstraße,Ensdorf,Landkreis Saarlouis,Saarland,66806,"Provinzialstraße 269, 66806 Ensdorf, Germany",49.2948875,6.7790508,Ensdorf,44123,8.39,6502,Saarlouis,145,.,200,901,.,390,"Trade, Transport, Hospitality",168,"14,0",62,"+ 9,6"
4,4,MTD Products,3.5,Saarland,5001 to 10000 Employees,Machinery Manufacturing,23,Industriestraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66129,"Industriestraße 23, 66129 Saarbrücken, Germany",49.1861848,7.0372686,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
5,5,Primark,3.5,Saarland,10000+ Employees,"Department, Clothing & Shoe Stores",81-85,Bahnhofstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Bahnhofstraße 81-85, 66111 Saarbrücken, Germany",49.2369592,6.9919277,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
6,6,Groupe PSA,3.5,Saarland,10000+ Employees,Transportation Equipment Manufacturing,2,Armand-Peugeot-Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66119,"Armand-Peugeot-Straße 2, 66119 Saarbrücken, Germany",49.1999626,7.017166,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
7,7,Postbank,3,Saarland,10000+ Employees,Banking & Lending,48,Poststraße,Sankt Ingbert,Saarpfalz-Kreis,Saarland,66386,"Poststraße 48, 66386 St. Ingbert, Germany",49.2777502,7.1117107,St. Ingbert (Mittelstadt),45117,49.95,34971,Saarpfalz,150-200,20,7 595,3 736,3 476,3 505,Manufacturing industry,1 992,"9,6",68,"+ 1,9"
8,8,Commerzbank,4,Saarland,10000+ Employees,Banking & Lending,4,Faktoreistraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Faktoreistraße 4, 66111 Saarbrücken, Germany",49.2382639,6.9895404,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
9,9,BENTELER Group,3.8,Saarland,10000+ Employees,Machinery Manufacturing,,,Saarlouis,Landkreis Saarlouis,Saarland,66740,"Ford Industrial Supplier Park, 66740 Saarlouis, Germany",49.3506504,6.7665566,Saarlouis (Kreisstadt),44115,43.3,34445,Saarlouis,145,,,,,,,,,,
