Gemeinde,Number of Foreigners per Gemeinde,Foreigners as % of Population,,,,
Landkreis Saarlouis,,,,,,
"Dillingen/Saar, Stadt",1 532,"16,9",,,,
"Lebach, Stadt",381,"11,6",,,,
Nalbach,150,"7,7",,,,
Rehlingen-Siersburg,238,"6,9",,,,
"Saarlouis, Kreisstadt",4 758,"14,1",,,,
Saarwellingen,660,"6,7",,,,
Schmelz,627,"9,3",,,,
Schwalbach,183,"6,4",,,,
Überherrn,761,"7,0",,,,
Wadgassen,257,"8,5",,,,
Wallerfangen,119,"8,1",,,,
Bous,216,"13,0",,,,
Ensdorf,168,"14,0",,,,
"Bexbach, Stadt",521,"7,0",,,,
"Blieskastel, Stadt",631,"5,6",,,,
Gersheim,138,"3,8",,,,
"Homburg, Kreisstadt",3 277,"16,0",,,,
Kirkel,573,"6,1",,,,
Mandelbachtal,153,"4,5",,,,
"St. Ingbert, Stadt",1 992,"9,6",,,,
Freisen,81,"4,3",,,,
Marpingen,70,"5,3",,,,
Namborn,87,"4,4",,,,
Nohfelden,155,"5,8",,,,
Nonnweiler,288,"4,8",,,,
Oberthal,30,"5,1",,,,
"St. Wendel, Kreisstadt",854,"7,3",,,,
Tholey,197,"4,6",,,,
"Saarbrücken, Landeshauptstadt",18 551,"19,2",,,,
"Friedrichsthal, Stadt",200,"6,6",,,,
Großrosseln,262,"7,4",,,,
Heusweiler,218,"6,6",,,,
Kleinblittersdorf,899,"6,8",,,,
"Püttlingen, Stadt",325,"6,7",,,,
Quierschied,188,"7,6",,,,
Riegelsberg,198,"7,6",,,,
"Sulzbach/Saar, Stadt",713,"14,7",,,,
"Völklingen, Stadt",1 791,"19,2",,,,
Beckingen,194,"6,7",,,,
Losheim am See,473,"8,1",,,,
"Merzig, Kreisstadt",1 106,"11,6",,,,
Mettlach,501,"16,2",,,,
Perl,262,"41,6",,,,
"Wadern, Stadt",461,"6,7",,,,
Weiskirchen,173,"7,6",,,,
Eppelborn,149,"5,0",,,,
Illingen,293,"5,9",,,,
Merchweiler,120,"5,8",,,,
"Neunkirchen, Kreisstadt",1 899,"18,2",,,,
"Ottweiler, Stadt",286,"6,2",,,,
Schiffweiler,279,"6,4",,,,
Spiesen-Elversberg,283,"7,3",,,,
