Gemeinde,Raw population Gain or Loss,Per 1000 Inhabitants,,,,,,
Landkreis Saarlouis,,,,,,,,
"Dillingen/Saar, Stadt",+58,"+ 2,9",,,,,,
"Lebach, Stadt",-180,"- 9,6",,,,,,
Nalbach,-17,"- 1,9",,,,,,
Rehlingen-Siersburg,+63,"+ 4,4",,,,,,
"Saarlouis, Kreisstadt",+55,"+ 1,6",,,,,,
Saarwellingen,+13,"+ 1,0",,,,,,
Schmelz,+64,"+ 4,0",,,,,,
Schwalbach,+144,"+ 8,4",,,,,,
Überherrn,+35,"+ 3,1",,,,,,
Wadgassen,+19,"+ 1,1",,,,,,
Wallerfangen,+90,"+ 9,8",,,,,,
Bous,+55,"+ 7,9",,,,,,
Ensdorf,+62,"+ 9,6",,,,,,
"Bexbach, Stadt",+41,"+ 2,3",,,,,,
"Blieskastel, Stadt",-9,"- 0,4",,,,,,
Gersheim,+24,"+ 3,8",,,,,,
"Homburg, Kreisstadt",+160,"+ 3,8",,,,,,
Kirkel,+13,"+ 1,3",,,,,,
Mandelbachtal,+102,"+ 9,7",,,,,,
"St. Ingbert, Stadt",+68,"+ 1,9",,,,,,
Freisen,-3,"- 0,4",,,,,,
Marpingen,+14,"+ 1,4",,,,,,
Namborn,+25,"+ 3,6",,,,,,
Nohfelden,+52,"+ 5,3",,,,,,
Nonnweiler,+105,"+ 12,4",,,,,,
Oberthal,-5,"- 0,8",,,,,,
"St. Wendel, Kreisstadt",-147,"- 5,8",,,,,,
Tholey,+87,"+ 7,2",,,,,,
"Saarbrücken, Landeshauptstadt",-277,"- 1,5",,,,,,
"Friedrichsthal, Stadt",+81,"+ 8,1",,,,,,
Großrosseln,+33,"+ 4,2",,,,,,
Heusweiler,+67,"+ 3,7",,,,,,
Kleinblittersdorf,+126,"+ 11,7",,,,,,
"Püttlingen, Stadt",+116,"+ 6,3",,,,,,
Quierschied,+42,"+ 3,2",,,,,,
Riegelsberg,+102,"+ 7,1",,,,,,
"Sulzbach/Saar, Stadt",+139,"+ 8,5",,,,,,
"Völklingen, Stadt",+54,"+ 1,4",,,,,,
Beckingen,+140,"+ 9,4",,,,,,
Losheim am See,+66,"+ 4,1",,,,,,
"Merzig, Kreisstadt",+52,"+ 1,8",,,,,,
Mettlach,+117,"+ 9,7",,,,,,
Perl,+303,"+ 34,3",,,,,,
"Wadern, Stadt",+86,"+ 5,5",,,,,,
Weiskirchen,+31,"+ 4,9",,,,,,
Eppelborn,+69,"+ 4,2",,,,,,
Illingen,+45,"+ 2,8",,,,,,
Merchweiler,-5,"- 0,5",,,,,,
"Neunkirchen, Kreisstadt",+105,"+ 2,3",,,,,,
"Ottweiler, Stadt",+159,"+ 11,1",,,,,,
Schiffweiler,+212,"+ 13,6",,,,,,
Spiesen-Elversberg,+25,"+ 2,0",,,,,,
